description,original_price,discount,reviews,ratings,sale,soldout,product_price
Elsie Glamour Elmina Wrap Dress - Red,"KSh4,350.00",20,No reviews,0.00,Sale,Available,"KSh4,350.00"
Lizola Luna Shiffon Dress - Blue,"KSh6,500.00",24,No reviews,0.00,Sale,Available,"KSh6,500.00"
Elsie Glamour Lela Floral Dress - Yellow,"KSh3,950.00",20,No reviews,0.00,Sale,Available,"KSh3,950.00"
Vivo Basic Bodycon - Purple,,,No reviews,0.00,,Available,"KSh3,950.00"
Vivo Faraji Cap Sleeve Sheath Dress - Taupe,"KSh4,250.00",50,2 reviews,3.50,Sale,Available,"KSh4,250.00"
Vivo Faraji Panel Sheath Dress - Navy Blue,"KSh4,250.00",50,3 reviews,4.67,Sale,Available,"KSh4,250.00"
Askari Chiku Plain Straight sleeveless Official Dress D008M - Maroon,,,No reviews,0.00,,Available,"KSh3,650.00"
Safari Tawi A-Line Long Sleeve Shirt Dress - Hunters Green,,,No reviews,0.00,,Available,"KSh4,250.00"
Popular 21 Thick Strap Rib Dress - Violet Tulle ,"KSh2,200.00",20,No reviews,0.00,Sale,Available,"KSh2,200.00"
Aramay Snow Drop Gathered Ruffles Hem Knee Length Dress - White,,,1 review,1.00,,Available,"KSh4,800.00"
Zoya Basic Bodycon - Navy Blue,,,No reviews,0.00,,Available,"KSh2,550.00"
Askari Three Frill Flowered Long Sleeve Dress D010A - Green Floral,,,No reviews,0.00,,Available,"KSh3,650.00"
Salok Subra Shift Dress - Black / white,"KSh4,000.00",20,No reviews,0.00,Sale,Available,"KSh4,000.00"
Elsie Glamour Te amor Velvet Dress - Purple,"KSh3,550.00",50,1 review,4.00,Sale,Available,"KSh3,550.00"
Vivo Ponte Back Pleat Maxi Dress - Purple,,,No reviews,0.00,,Available,"KSh5,550.00"
Vivo Basic Bodycon - Navy Blue,,,No reviews,0.00,,Available,"KSh3,950.00"
Vazi Afriq Cotton Jersey T-Shirt Dress - White / Black Print,"KSh3,500.00",57,No reviews,0.00,Sale,Available,"KSh3,500.00"
Elsie Glamour Amira Maxi Dress - Black / White Print,"KSh4,950.00",10,No reviews,0.00,Sale,Available,"KSh4,950.00"
Vivo Bana Front Twist Full Sleeve Bodycon - Burgundy,,,No reviews,0.00,,Available,"KSh4,750.00"
Vivo Bana Front Tie 3/4 Sleeve Bodycon - Black,,,No reviews,0.00,,Sold out,"KSh4,550.00"
